ILI,definition,lemma_names,sentiment_SWN,sentiment_lexicon,sentiment_sa
ENG30-00637354-n,istraživanje koje traži odgovore,['istraga'],"(0.0, 0.0)",positive,Neutralan
ENG30-02519991-v,za šta reparacije ili popravke praviti,"['dati naknadu za', 'davati naknadu za', 'ispraviti', 'ispravljati', 'kompenzirati', 'kompenzovati', 'korigovati', 'nadoknaditi', 'nadoknađivati', 'odštetiti', 'podešavati', 'podesiti', 'popraviti', 'popravljati']","(0.0, 0.0)",positive,Neutralan
ENG30-07157273-n,karakteristični jezik određene grupe (kao lopova),"['sleng', 'žargon']","(0.0, 0.0)",negative,Negativan
ENG30-01032368-n,Služba koja se obavlja u crkvi.,['crkva'],"(0.0, 0.0)",positive,Neutralan
ENG30-00912048-v,"glasno izgovarati; često s iznenađenjem, užasom ili radošću","['galamiti', 'kriknuti', 'uzviknuti', 'vikati', 'viknuti']","(0.0, 0.0)",negative,Neutralan
ENG30-00358089-n,Čin gnječenja.,"['gnječenje', 'drobljenje']","(0.0, 0.0)",negative,Negativan
ENG30-03671272-n,put koji se sastoji od pruge i šina,"['pruga', 'šine', 'železnica', 'železnička linija']","(0.0, 0.0)",negative,Neutralan
ENG30-14024882-n,prirodno i periodićno stanje odmora tokom koga se gubi svest o svetu,"['san', 'počinak']","(0.0, 0.0)",positive,Negativan
ENG30-00806512-a,kome nedostaju živost ili entuzijazam,"['dosadan', 'nezanimljiv']","(0.0, 0.0)",negative,Negativan
ENG30-04840405-n,ljubazan i blag stav prema ljudima,"['milosrđe', 'milostivost', 'velikodušnost']","(0.0, 0.0)",positive,Pozitivan
ENG30-06623614-n,komunikacija razmenom pisama,['korespondencija'],"(0.0, 0.0)",positive,Neutralan
ENG30-00456740-v,Učiniti da se slaže ili saglasi.,['složiti'],"(0.0, 0.0)",positive,Negativan
ENG30-14074041-n,svaka bolest ili poremećaj do kojih dolazi tokom (ili zbog) drugih bolesti,['komplikacija'],"(0.0, 0.0)",negative,Neutralan
ENG30-00770141-v,skloniti koga ubeđivanjem,"['obeshrabriti', 'obeshrabrivati', 'odvratiti']","(0.0, 0.0)",negative,Negativan
ENG30-00739270-n,Nesposobnost delovanja s razboritosćću koje bi ispoljila razumna osoba pod istim uslovima.,"['nepažnja', 'nemar']","(0.0, 0.0)",negative,Negativan
ENG30-04847298-n,osobina da se radi ono što je ispravno i da se izbegava ono što nije,"['čestitost', 'ispravnost', 'moralnost', 'vrlina']","(0.0, 0.0)",positive,Neutralan
ENG30-02747709-v,nastaviti nakon prekida,"['nastaviti', 'nastavljati', 'obnavljati', 'obnoviti', 'produžavati', 'produžiti']","(0.0, 0.0)",positive,Negativan
ENG30-13916623-n,"Tkivo koje čini gornji tvrdi omotač, na primer voća.","['kora', 'ljuska']","(0.0, 0.0)",negative,Neutralan
ENG30-02180898-v,Proizvoditi zvonak zvuk.,['zvoniti'],"(0.0, 0.0)",negative,Negativan
ENG30-01745141-v,oblikovati štampani materijal u traženi format,"['formatirati', 'slagati', 'složiti']","(0.0, 0.0)",positive,Neutralan
ENG30-04829550-n,ljudski kvalitet razumevanja patnje drugih i želje da se nešto u vezi s tim uradi,"['saosećanje', 'saučešće', 'sažaljenje', 'sućut']","(0.0, 0.0)",positive,Negativan
ENG30-01972298-v,preći u slobodan pad pod uticajem gravitacije,"['padati', 'pasti']","(0.0, 0.0)",negative,Negativan
ENG30-15273626-n,period vremena koji se provede spavajući,"['dremež', 'san']","(0.0, 0.0)",positive,Neutralan
ENG30-06090869-n,Nauka o materiji i energiji i njihovom odnosu.,['fizika'],"(0.0, 0.0)",positive,Neutralan
ENG30-00201407-v,umetnuti reči i time falsifikovati ceo tekst,"['intervenisati', 'falsifikovati']","(0.0, 0.0)",negative,Negativan
ENG30-13815449-n,"Relativna veličina dve vrednosti, obično se izražava razlomkom.","['omer', 'odnos', 'proporcija', 'srazmer']","(0.0, 0.0)",positive,Neutralan
ENG30-10317007-n,bilo koja osoba u oružanim snagama koja drži položaj od autoriteta ili komande,['oficir'],"(0.0, 0.0)",positive,Negativan
ENG30-10640620-n,nečiji bračni drug,"['supružnik', 'partner', 'drug']","(0.0, 0.0)",positive,Negativan
ENG30-01018366-n,čin produžavanja čega,"['nastavak', 'nastavljanje', 'produžavanje', 'produženje', 'produžetak']","(0.0, 0.0)",positive,Neutralan
ENG30-02227487-v,okrenuti se od; odustati,"['manuti se', 'napuštati', 'napustiti', 'odreći se', 'odricati se', 'odustajati', 'odustati', 'ostaviti', 'ostavljati', 'predati', 'predavati', 'prepuštati', 'prepustiti', 'puštati', 'pustiti', 'ustupati', 'ustupiti']","(0.0, 0.0)",negative,Negativan
