ILI,definition,lemma_names,sentiment_SWN,sentiment_lexicon,sentiment_sa
ENG30-13874927-n,prava linija koja spaja dve tačke na krivoj,['tetiva'],"(0.0, 0.0)",negative,Objektivan
ENG30-10352299-n,osoba koja živi (ili je smeštena) blizu druge,"['sused', 'komšija']","(0.0, 0.0)",positive,Objektivan
ENG30-08274923-n,akademski svet,"['akademija', 'univerzitet']","(0.0, 0.0)",positive,Objectivan
ENG30-00290308-b,"koncizno, precizno, kratko i bez okolišanja","['bez okolišanja', 'kompaktno', 'koncizno', 'kratko', 'precizno']","(0.0, 0.0)",positive,Objektivan
ENG30-04424218-n,Neka ljudska tvorevina.,['stvar'],"(0.0, 0.0)",positive,Objektivan
ENG30-07213395-n,Govorni čin koji jasno pokazuje nešto.,"['otkriće', 'otkrivanje']","(0.0, 0.0)",positive,Objektivan
ENG30-01368863-v,ispružiti ili ispraviti; vratiti iz krivog položaja,"['istegnuti', 'istezati', 'protegnuti', 'protezati', 'pružati', 'pružiti']","(0.0, 0.0)",positive,Objektivan
ENG30-04144782-n,grafička umetnost koja se sastoji od grafičke ili fotografske reprezentacije kakve vizuelne percepcije,"['fotografija', 'scena', 'scenografija', 'slika', 'snimak']","(0.0, 0.0)",negative,Objektivan
ENG30-13947415-n,Pozicija u druđtvenoj hijerarhiji.,"['rang', 'stepen', 'stupanj', 'čin']","(0.0, 0.0)",positive,Objektan
ENG30-00925873-v,razrađivati (npr. teorije i hipoteze),"['artikulisati', 'formulirati', 'obrazlagati', 'obrazložiti', 'razvijati', 'razviti']","(0.0, 0.0)",positive,Objektivan
ENG30-10476086-n,osoba koja je zatvorena; posebno ratni zarobljenik,"['zatočenik', 'zarobljenik']","(0.0, 0.0)",negative,Negativan
ENG30-01014066-n,Čin kojim se neke stvari okupljaju.,"['okupljanje', 'skupljanje']","(0.0, 0.0)",positive,Objektivan
ENG30-02371718-a,"koji je sličan po veličini, obliku i relativnoj poziciji odgovarajućih delova",['simetričan'],"(0.0, 0.0)",positive,Objektivan
ENG30-01123887-v,"napraviti strateški, agresivan napad na neprijatelja, protivnika ili metu","['napadati', 'napasti', 'udarati', 'udariti']","(0.0, 0.0)",negative,Negativan
ENG30-04243727-n,(računar) utičnica na mikroračunaru koja prihvata štampanu ploču,"['konektor za proširenje', 'slot', 'slot za proširenje']","(0.0, 0.0)",negative,Objektivan
ENG30-01046226-a,koji je karakterističan ili prikladan za svakodnevni jezik,"['govorni', 'kolokvijalni', 'konverzacijski', 'neformalni', 'običan', 'razgovorni', 'svakodnevni', 'uobičajen', 'uobičajeni']","(0.0, 0.0)",positive,Objektivan
ENG30-01375831-a,opšte prihvaćen i uvažen,"['slavan', 'poznat', 'čuven', 'značajan', 'renomiran', 'priznat', 'proslavljen']","(0.0, 0.0)",positive,Pozitivan
ENG30-02681518-n,Zanimljiv ili šaren ukras koji se dodaje da umanji jednoličnost.,"['ures', 'nakit']","(0.0, 0.0)",positive,Objektivan
ENG30-02469835-v,Delovati saglasno ili ujediniti u zajedničkom cilju ili verovanju.,"['sjediniti', 'ujediniti']","(0.0, 0.0)",positive,Objektivan
ENG30-12641413-n,"Neko drvo koje rađa male, mesnate, okrugle plodove sa jednom tvrdom košticom; mnogi daju i cenjeno tvrdo drvo za građu.",['trešnja'],"(0.0, 0.0)",positive,Objektivan
ENG30-00829378-n,Pažnja i uredovanje koje podrazumeva odgovornost za bezbednost.,"['briga', 'starateljstvo', 'zaštita']","(0.0, 0.0)",positive,Objektivan
ENG30-07947255-n,Ljudi uopšte.,"['narod', 'svet']","(0.0, 0.0)",positive,Objektivan
ENG30-06684383-n,"Poruka kojom se daje obećanje, pruzima da izvrši.",['obaveza'],"(0.0, 0.0)",negative,Pozitivan
ENG30-08348815-n,agencija odgovorna da obezbedi poslušnost prema zakonima,['policija'],"(0.0, 0.0)",positive,Objektivan
ENG30-10204921-n,vojnik koji se bori na nogama s malim oružjem,"['pešak', 'pešadijac', 'pešadinac']","(0.0, 0.0)",negative,Objektivan
