ILI,definition,lemma_names,sentiment_SWN,sentiment_lexicon,sentiment_sa,sentiment_sa_positive,sentiment_sa_negative
ENG30-00807178-v,smatrati pogrešnim ili neprikladnim,"['ne odbriti', 'ne odobravati', 'odbaciti', 'odbacivati', 'odbijati', 'odbiti', 'zamerati', 'zameriti']","(0.0, 0.0)",negative,Negativan,NijeAnswer,umjereno negativan
BILI-00000025,Otac jednog supružnika prema drugom supružniku.,['prijatelj'],"(0.0, 0.0)",positive,Negativan,Nije pozitivan,Nije negativan
ENG30-00421917-v,"izgube svežinu, energiju ili vitalnost","['bledeti', 'izbledeti', 'minuti', 'uvenuti', 'venuti']","(0.0, 0.0)",negative,Negativan,Nije pozitivan,umjereno negativan
ENG30-03785499-n,zgrada (ili prostorija) gde se mrtva tela drže pre sahrane ili kremacije,['mrtvačnica'],"(0.0, 0.0)",negative,Negativan,Nije pozitivan,veoma negativan
ENG30-00072261-n,čin koji donosi sramotu osobi koja ga izvrši,"['mrlja', 'brljotina']","(0.0, 0.0)",negative,Negativan,Nije pozitivan,veoma negativan
ENG30-02851540-n,ulica koja je na jednom kraju zatvorena i nema prolaz,['ćorsokak'],"(0.0, 0.0)",negative,Negativan,Nije pozitivan,nije negativan
ENG30-00750306-n,nepoštenost šarlatana,"['nadrilekarstvo', 'prevara', 'šarlatanstvo']","(0.0, 0.0)",negative,Negativan,Nije pozitivan,veoma negativan
ENG30-07684164-n,"Hrskav, tanak, neposoljen hleb koji se mesi samo od braxna i vode.",['maca'],"(0.0, 0.0)",positive,Negativan,Nije pozitivan,Umjereno negativan
ENG30-00421590-a,odvratno prljav; prekriven ili zamazan kakvom odvratnom tvari,"['gadan', 'išaran', 'neprijatan', 'odbojan', 'odvratan', 'otužan', 'prašnjav', 'prljav', 'uprašnjavljen', 'uprljan', 'zaprljan']","(0.0, 0.0)",negative,Negativan,Nije pozitivan,veoma negativan
ENG30-02206619-v,uzeti silom,"['oteti', 'oduzeti']","(0.0, 0.0)",negative,Negativan,Nije pozitivan,veoma negativan
ENG30-00089351-n,Dobijanje nečeg nazad.,"['povratak', 'povraćaj', 'restauracija']","(0.0, 0.0)",negative,Negativan,Nije pozitivan,Umjereno negativan
ENG30-09930876-n,osoba koja zabavlja druge blesavim ponašanjem,"['klovn', 'luda']","(0.0, 0.0)",positive,Negativan,Umjereno pozitivan,Nije negativan
ENG30-02853218-n,Ono što sprečava pristup ili napredak.,['blokada'],"(0.0, 0.0)",negative,Negativan,Nije pozitivan,veoma negativan
ENG30-03850966-n,droga koja stvara zavisnost a dobija se od semenih čahura opijumskog maka,['opijum'],"(0.0, 0.0)",negative,Negativan,Nijedan    O,veoma negativan
ENG30-01119169-v,"Pokrenuti napad ili uvredu na nekoga; početi sa neprijateljstvom, kao u slučaju rata.","['napasti', 'navaliti na koga', 'nasrnuti', 'navaliti']","(0.0, 0.0)",negative,Negativan,Nije pozitivan,veoma negativan
ENG30-07317519-n,slučajan pogrešan korak koji preti da izazove (ili izaziva) pad,"['brljotina', 'greška', 'omaška', 'pogrešan korak', 'pogreška']","(0.0, 0.0)",negative,Negativan,Nije pozitivan,veoma negativan
ENG30-07966570-n,grupa ljudi koji se prema rasi ili političkim uverenjima razlikuju od većine u većoj grupi čiji su deo,['manjina'],"(0.0, 0.0)",negative,Negativan,Nije pozitivan,Umjereno negativan
ENG30-02304507-v,biti zarobljen,"['biti okupiran', 'biti zauzet', 'biti zauziman', 'padati', 'pasti']","(0.0, 0.0)",negative,Negativan,Nije pozitivan,veoma negativan
ENG30-00294579-a,"disinclined to work or exertion; ""faineant kings under whose rule the country languished""; ""an indolent hanger-on""; ""too lazy to wash the dishes""; ""shiftless idle youth""; ""slothful employees""; ""the unemployed are not necessarily work-shy""",['lenj'],"(0.0, 0.0)",negative,Negativan,Nije pozitivan,"""disinclined to work or"
