ILI,definition,lemma_names,sentiment_SWN,sentiment_lexicon,sentiment_sa
ENG30-00200863-v,izbaciti ili eliminisati (ukloniti),"['izbaciti iz teksta', 'brisati']","(0.0, 0.0)",negative,Negativan
ENG30-01237901-v,kamo ne uspeti stići,"['propuštati', 'propustiti']","(0.0, 0.0)",negative,Negativan
ENG30-08386555-n,"grupa ili klasa ljudi koji uživaju najviši intelektualni, društveni ili ekonomski status",['elita'],"(0.0, 0.0)",positive,Objektivan
ENG30-03829563-n,Petlja napravljena od konopca pomoću kliznog čvora; sve se više steže sa povlačenjem konopca.,['omča'],"(0.0, 0.0)",negative,Objektivan
ENG30-00625393-a,"koji postoji u stvarnosti, uzet iz života","['stvaran', 'realan', 'materijalan']","(0.0, 0.0)",positive,Objektivan
ENG30-00954086-n,ratna akcija kojom se izoluje neko područje od značaja za neprijatelja,"['blokada', 'opkoljavanje']","(0.0, 0.0)",negative,Objektivan
ENG30-10518602-n,"Član monaškog reda koji se zakleo na siromaštvo, poslušnost i krepost.",['redovnik'],"(0.0, 0.0)",positive,Objektivan
ENG30-02550296-v,Obezbediti negu.,"['paziti', 'negovati', 'brinuti']","(0.0, 0.0)",negative,Objašn
ENG30-05122557-n,Ono što jeste ili je povezano sa brojnijim od dva dela.,"['većina', 'glavnina']","(0.0, 0.0)",positive,Objektivan
ENG30-02298766-a,koji nije u skladu sa standardnom upotrebom,"['neprihvatljiv', 'nezadovoljavajući']","(0.0, 0.0)",negative,Objektivan
ENG30-00746116-n,nepravedno ili izdajničko ponašanje (posebno takvo koje uključujenasilje),"['faul', 'izdaja', 'nekorektnost']","(0.0, 0.0)",negative,Negativan
ENG30-03387016-n,Najniža podrška strukturi.,"['osnov', 'temelj', 'baza']","(0.0, 0.0)",positive,Negativan
ENG30-01307142-v,Učiniti poravnatim.,"['poravnati', 'izravnati', 'ispraviti']","(0.0, 0.0)",positive,Objektivan
ENG30-14437976-n,visok stepen poštovanja stečen impresivnim poduhvatima ili postignućima,"['divljenje', 'poštovanje', 'respekt', 'uvažavanje']","(0.0, 0.0)",positive,Pozitivan
ENG30-00126264-v,"Izazvati promenu, transformaciju; učiniti različitim.",['izmeniti'],"(0.0, 0.0)",positive,Neutralan
ENG30-02874086-n,Mala radnja na vašaru za prodaju robe ili zabave.,['tezga'],"(0.0, 0.0)",negative,Objektivan
ENG30-13943400-n,poseban splet okolnosti,['slučaj'],"(0.0, 0.0)",negative,Objektivan
ENG30-02644234-v,"biti veći po broju, količini, moći, statusu ili značaju","['dominirati', 'nadjačati', 'nadjačavati', 'preovladati', 'preovladavati', 'preovlađivati', 'prevladati']","(0.0, 0.0)",positive,Objektivan
ENG30-06090869-n,Nauka o materiji i energiji i njihovom odnosu.,['fizika'],"(0.0, 0.0)",positive,Objektivan
ENG30-00058743-n,Čin fizičkog bežanja.,"['beg', 'bekstvo']","(0.0, 0.0)",negative,Negativan
ENG30-04270891-n,dugačak naoštren štap koji se koristi kao oružje,"['koplje', 'lanceta']","(0.0, 0.0)",negative,Negativan
ENG30-05682950-n,Osećaj zanimanja i zainteresovanosti za nekoga ili nešto.,"['zainteresovanost', 'interes', 'zanimanje', 'interesovanje']","(0.0, 0.0)",positive,Objektivan
ENG30-01215392-n,Formalni čin pružanja podrške.,['odobravanje'],"(0.0, 0.0)",positive,Objektivan
ENG30-00335421-a,utvrđeno tako da rezultat nije više sumnjiv ni upitan; definitivno poznat,"['izvestan', 'pouzdan', 'siguran', 'utvrđen']","(0.0, 0.0)",positive,Objektivan
ENG30-13981137-n,Stanje konflikta između osoba.,"['sudar', 'trvenje']","(0.0, 0.0)",negative,Negativan
ENG30-12690653-n,Neko od različitog tropskog drveća iz familije Burseraceae koje rađa mirisnu smolu koja se pali zbog mirisa.,['tamjan'],"(0.0, 0.0)",negative,Objektivan
ENG30-00869972-a,opterećen psihološki ili mentalno,['opterećen'],"(0.0, 0.0)",negative,Negativan
ENG30-02443849-v,"upravljati ili kontrolisati (projekte, kompanije itd)","['kontrolisati', 'nadzirati', 'rukovoditi', 'upravljati', 'voditi']","(0.0, 0.0)",positive,Objektivan
