ILI,definition,lemma_names,sentiment_SWN,sentiment_lexicon,sentiment_sa,sentiment_sa_sample_group
ENG30-08287436-n,fakultet i studenti škole koja se specijalizira za jednu od lepih umetnosti,"['akademija', 'konzervatorijum']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-01688589-n,"Lepih i živih boja, jedan od najl;epših tropskih guštera; živi na Sundskim ostrvima i na poluostrvu Malaka; hrani se insektima.",['zmaj'],"(0.0, 0.0)",negative,Pozitivan,Pozitivan
ENG30-01140658-n,mandat koji se daje vladi i njenoj politici putem izborne pobede,"['mandat', 'ovlašćenje', 'punomoć']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-00418364-a,potpuno uredan i čist,"['besprekoran', 'čist', 'neumrljan', 'uredan']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-01375831-a,opšte prihvaćen i uvažen,"['slavan', 'poznat', 'čuven', 'značajan', 'renomiran', 'priznat', 'proslavljen']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-09871364-n,Čovek koji je ljubavnik devojci ili mladoj ženi.,"['dečko', 'momak']","(0.0, 0.0)",negative,Pozitivan,Pozitivan
ENG30-02729965-n,uređaj koji je veoma koristan za određeni posao,"['alat', 'aparat', 'gadžet', 'kucni aparat', 'mašina', 'naprava', 'pribor', 'sprava', 'sredstvo']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-04714156-n,kvalitet saglasnosti - biti prikladan i odgovarajući,"['kongruencija', 'odgovaranje', 'paralelizam', 'prikladnost']","(0.0, 0.0)",negative,Pozitivan,Pozitivan
ENG30-09622928-n,Voljena osoba; koristi se u izrazima od milja.,"['voljeni', 'voljena', 'dragan', 'dragana', 'ljubav', 'cakan', 'cakana']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-00719231-v,pozitivno na šta reagovati; ispravnim i pravilnim smatrati,"['podržati', 'podržavati', 'prihvatati', 'prihvatiti', 'primati', 'primiti']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-03938244-n,jastuk za podršku glave osobe koja spava,['jastuk'],"(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-13972797-n,Remećenje mira ili javnog red.,"['nered', 'izgred']","(0.0, 0.0)",negative,Pozitivan,Pozitivan
ENG30-00867231-v,prekrstiti nekoga (učiniti znak krsta preko nekoga) da bi se nad tom osobom prizvala Božija zaštitila,"['blagosloviti', 'blagosiljati', 'blagoslivati']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-01983162-a,koji zaslužuje uvažavanje i poštovanje,"['častan', 'dobar', 'dobronameran', 'moralan', 'pošten', 'poštovan', 'pouzdan', 'siguran', 'ugledan', 'uredan', 'uvažen']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-04074482-n,Terapija koja leči bolest ili ublažava bol.,"['lek', 'kura']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-02160779-v,"Svetleti sjajno, kao zvezda ili svetlo.","['svetleti', 'sijati']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-14437976-n,visok stepen poštovanja stečen impresivnim poduhvatima ili postignućima,"['divljenje', 'poštovanje', 'respekt', 'uvažavanje']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-00053691-a,"onaj koji poseduje svojstvo lepljenja, priljubljivanja","['lepljiv', 'prionljiv']","(0.0, 0.0)",negative,Pozitivan,Pozitivan
ENG30-05943066-n,Potpuno verovanje u osobu ili plan itd.,"['vera', 'poverenje']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-00183090-b,(za naglašavanje značenja) izuzetno dobro,"['predivno', 'čudesno', 'sjajno', 'izvrsno', 'vrhunski', 'veličanstveno', 'izvanredno']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-10694258-n,Osoba čije je zanimanje da predaje.,['predavač'],"(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-01887896-n,Mladunče domaće životinje - krave.,['tele'],"(0.0, 0.0)",positive,Pozitivan,Pozitivan
ENG30-09871364-n,Čovek koji je ljubavnik devojci ili mladoj ženi.,"['dečko', 'momak']","(0.0, 0.0)",positive,Pozitivan,Pozitivan
