ILI,definition,lemma_names,sentiment_SWN,sentiment_lexicon,sentiment_sa,sentiment_sa_positive,sentiment_sa_negative,ollama_positive_value,ollama_positive_explanation,ollama_positive_raw,ollama_negative_value,ollama_negative_explanation,ollama_negative_raw,ollama_model
ENG30-01569181-v,Uskratiti kiseonik i sprečiti disanje.,"['udaviti', 'zadaviti']","(0.0, 0.0)",negative,Negativan,Nije pozitivan,veoma negativan,nije pozitivan,"Tekst opisuje opasno i štetno ponašanje, što ukazuje na negativan sentiment.","{""value"": ""nije pozitivan"", ""explanation"": ""Tekst opisuje opasno i štetno ponašanje, što ukazuje na negativan sentiment.""}",ekstremno negativan,"Tekst opisuje ekstremno štetno i opasno ponašanje, što odgovara donjoj granici negativne SWN polarizacije.","{""value"": ""ekstremno negativan"", ""explanation"": ""Tekst opisuje ekstremno štetno i opasno ponašanje, što odgovara donjoj granici negativne SWN polarizacije.""}",mistral-small3.2:latest
ENG30-01989562-v,uzrokovati da šta pukne,"['razbijati', 'razbiti']","(0.0, 0.0)",negative,Negativan,Nije pozitivan,veoma negativan,nije pozitivan,"Rek 'uzrokovati da šta pukne' ima negativnu konotaciju, jer se odnosi na destruktivne ili nepoželjne posledice.","{""value"": ""nije pozitivan"", ""explanation"": ""Rek 'uzrokovati da šta pukne' ima negativnu konotaciju, jer se odnosi na destruktivne ili nepoželjne posledice.""}",nije negativan,Tekst 'uzrokovati da šta pukne' je neutralan i ne sadrži izražene negativne emocije ili kritike.,"{""value"": ""nije negativan"", ""explanation"": ""Tekst 'uzrokovati da šta pukne' je neutralan i ne sadrži izražene negativne emocije ili kritike.""}",mistral-small3.2:latest
ENG30-01099592-v,nemati uspeha u postizanju pobede,"['gubiti', 'izgubiti']","(0.0, 0.0)",negative,Negativan,Nijedan    O,veoma negativan,nije pozitivan,"Tekst izražava nedostatak uspjeha ili pobjede, što je neutralno ili negativno, ali ne i izričito negativno.","{""value"": ""nije pozitivan"", ""explanation"": ""Tekst izražava nedostatak uspjeha ili pobjede, što je neutralno ili negativno, ali ne i izričito negativno.""}",negativan,"Tekst izražava neuspeh u postizanju pobede, što je jasno negativan sentiment.","{""value"": ""negativan"", ""explanation"": ""Tekst izražava neuspeh u postizanju pobede, što je jasno negativan sentiment.""}",mistral-small3.2:latest
ENG30-00953559-n,Neprijateljski susret suprotstavljenih vojnih snaga u toku rata.,"['bitka', 'boj', 'borba']","(0.0, 0.0)",negative,Negativan,Nije pozitivan,veoma negativan,nije pozitivan,"Tekst opisuje neprijateljski susret suprotstavljenih vojnih snaga u toku rata, što ima negativnu konotaciju usled nasilja i sukoba.","{""value"": ""nije pozitivan"", ""explanation"": ""Tekst opisuje neprijateljski susret suprotstavljenih vojnih snaga u toku rata, što ima negativnu konotaciju usled nasilja i sukoba.""}",nije negativan,"Tekst opisuje neutralnu situaciju bez izražene negativne konotacije, iako se odnosi na rat.","{""value"": ""nije negativan"", ""explanation"": ""Tekst opisuje neutralnu situaciju bez izražene negativne konotacije, iako se odnosi na rat.""}",mistral-small3.2:latest
ENG30-03600806-n,listovi marihuana uvaljane u cigaretu za pušenje,"['cigara', 'cigareta', 'džoint']","(0.0, 0.0)",negative,Negativan,Nije pozitivan,Nije negativan,nije pozitivan,"Tekst opisuje upotrebu marihuane, što je u mnogim kontekstima negativno ili zabranjeno, pa stoga ne može biti klasifikovan kao pozitivan.","{""value"": ""nije pozitivan"", ""explanation"": ""Tekst opisuje upotrebu marihuane, što je u mnogim kontekstima negativno ili zabranjeno, pa stoga ne može biti klasifikovan kao pozitivan.""}",ekstremno negativan,"Tekst opisuje ilegalnu aktivnost koja je u mnogim zemljama zabranjena i kažnjiva po zakonu, što ga svrstava u najnižu kategoriju negativne SWN polarizacije.","{""value"": ""ekstremno negativan"", ""explanation"": ""Tekst opisuje ilegalnu aktivnost koja je u mnogim zemljama zabranjena i kažnjiva po zakonu, što ga svrstava u najnižu kategoriju negativne SWN polarizacije.""}",mistral-small3.2:latest
ENG30-01220336-n,oštar napad na čiju ličnost ili dobro ime,"['kleveta', 'klevetanje', 'omalovažavanje']","(0.0, 0.0)",negative,Negativan,Nije pozitivan,ekstremno negativan,nije pozitivan,"Tekst 'oštar napad na čiju ličnost ili dobro ime' sadrži negativne konotacije, što ukazuje na kritiku ili agresiju, pa stoga ne može biti klasifikovan kao pozitivan.","{""value"": ""nije pozitivan"", ""explanation"": ""Tekst 'oštar napad na čiju ličnost ili dobro ime' sadrži negativne konotacije, što ukazuje na kritiku ili agresiju, pa stoga ne može biti klasifikovan kao pozitivan.""}",veoma negativan,"Izraz 'oštar napad na čiju ličnost ili dobro ime' jasno ukazuje na jak negativan sentiment, jer se odnosi na agresivno i štetno ponašanje prema nekoj osobi.","{""value"": ""veoma negativan"", ""explanation"": ""Izraz 'oštar napad na čiju ličnost ili dobro ime' jasno ukazuje na jak negativan sentiment, jer se odnosi na agresivno i štetno ponašanje prema nekoj osobi.""}",mistral-small3.2:latest
ENG30-01468576-v,Naterati na odlazak sa nekog mesta.,"['izbaciti', 'isključiti', 'isključivati', 'isterati']","(0.0, 0.0)",negative,Negativan,Nijedan    O,Nije negativan,nije pozitivan,"Izraz 'naterati na odlazak' ima negativnu konotaciju, jer sugeriše prisiljavanje ili nevoljno napuštanje mesta.","{""value"": ""nije pozitivan"", ""explanation"": ""Izraz 'naterati na odlazak' ima negativnu konotaciju, jer sugeriše prisiljavanje ili nevoljno napuštanje mesta.""}",slabo negativan,"Izraz 'naterati na odlazak' ima negativnu konotaciju, ali nije ekstremno negativan jer ne uključuje izrazitu mržnju ili ekstremno destruktivno ponašanje.","{""value"": ""slabo negativan"", ""explanation"": ""Izraz 'naterati na odlazak' ima negativnu konotaciju, ali nije ekstremno negativan jer ne uključuje izrazitu mržnju ili ekstremno destruktivno ponašanje.""}",mistral-small3.2:latest
ENG30-02585489-v,izazvati patnju,"['progoniti', 'ugnjetavati']","(0.0, 0.0)",negative,Negativan,Nije pozitivan,veoma negativan,nije pozitivan,"Reč 'izazvati patnju' ima negativnu konotaciju, što ukazuje na nepoželjno stanje ili emociju.","{""value"": ""nije pozitivan"", ""explanation"": ""Reč 'izazvati patnju' ima negativnu konotaciju, što ukazuje na nepoželjno stanje ili emociju.""}",ekstremno negativan,"Reč 'izazvati patnju' ima jako negativnu konotaciju, što odgovara donjoj granici negativne SWN polarizacije.","{""value"": ""ekstremno negativan"", ""explanation"": ""Reč 'izazvati patnju' ima jako negativnu konotaciju, što odgovara donjoj granici negativne SWN polarizacije.""}",mistral-small3.2:latest
ENG30-06720371-n,napad koji se sastoji od lažne i zlonamerne publikacije koja je odštampana da bi se živa osoba oklevetala,['kleveta'],"(0.0, 0.0)",negative,Negativan,Nije pozitivan,veoma negativan,nije pozitivan,"Tekst opisuje negativnu radnju (napad, lažna i zlonamerna publikacija, oklevetanje), što jasno ukazuje na negativan sentiment.","{""value"": ""nije pozitivan"", ""explanation"": ""Tekst opisuje negativnu radnju (napad, lažna i zlonamerna publikacija, oklevetanje), što jasno ukazuje na negativan sentiment.""}",ekstremno negativan,"Tekst opisuje napad lažnim i zlonamernim publikacijama, što je izrazito negativno i štetno za živu osobu.","{""value"": ""ekstremno negativan"", ""explanation"": ""Tekst opisuje napad lažnim i zlonamernim publikacijama, što je izrazito negativno i štetno za živu osobu.""}",mistral-small3.2:latest
ENG30-00200863-v,izbaciti ili eliminisati (ukloniti),"['izbaciti iz teksta', 'brisati']","(0.0, 0.0)",negative,Negativan,Nije pozitivan,nije negativan,nije pozitivan,"Reč 'izbaciti ili eliminisati (ukloniti)' ima neutralan ili negativan konotacioni nijansu, jer se odnosi na uklanjanje ili uklanjanje nečega, što nije izričito pozitivno.","{""value"": ""nije pozitivan"", ""explanation"": ""Reč 'izbaciti ili eliminisati (ukloniti)' ima neutralan ili negativan konotacioni nijansu, jer se odnosi na uklanjanje ili uklanjanje nečega, što nije izričito pozitivno.""}",nije negativan,Primer je granični kalibracioni slučaj za SWN POS/NEG skalu.,"{""value"": ""nije negativan"", ""explanation"": ""Primer je granični kalibracioni slučaj za SWN POS/NEG skalu.""}",mistral-small3.2:latest
ENG30-00824767-v,grditi strogo ili ljutito,"['grditi', 'izgrditi', 'koriti', 'kritikovati', 'prekoravati', 'prekoriti']","(0.0, 0.0)",negative,Negativan,Nije pozitivan,umjereno negativan,nije pozitivan,"Rek 'grditi strogo ili ljutito' ima jasno negativno značenje, što ukazuje na izraženu nelagodu ili negativne emocije.","{""value"": ""nije pozitivan"", ""explanation"": ""Rek 'grditi strogo ili ljutito' ima jasno negativno značenje, što ukazuje na izraženu nelagodu ili negativne emocije.""}",veoma negativan,"Izraz 'grditi strogo ili ljutito' nosi jak negativan ton, što ukazuje na izraženu ljutnju ili nezadovoljstvo, ali ne i na ekstremno negativan sentiment.","{""value"": ""veoma negativan"", ""explanation"": ""Izraz 'grditi strogo ili ljutito' nosi jak negativan ton, što ukazuje na izraženu ljutnju ili nezadovoljstvo, ali ne i na ekstremno negativan sentiment.""}",mistral-small3.2:latest
