ILI,definition,lemma_names,sentiment_SWN,sentiment_lexicon,sentiment_sa
ENG30-01129532-n,odgajiti nekoga tako da bude prihvaćen kao član zajednice,"['gajenje', 'hraniteljstvo', 'negovanje', 'obrazovanje', 'odgajanje', 'odgoj', 'podizanje', 'uzgajanje', 'uzgoj', 'vaspitanje']","(0.0, 0.0)",positive,Neutralan
ENG30-01029114-n,Uzdizanje osobe do statusa Boga.,"['obožavanje', 'uzdizanje', 'apoteoza']","(0.0, 0.0)",positive,Negativan
ENG30-00920336-v,"otkriti, saznati ili odrediti sa sigurnošću, obično istraživanjem ili kakvim drugim naporom","['čuti', 'ispitati', 'kontrolisati', 'naučiti', 'odrediti', 'otkriti', 'otkrivati', 'pregledati', 'prekontrolisati', 'proveravati', 'proveriti', 'saznati', 'saznavati', 'shvatati', 'shvatiti', 'učiti', 'utvrditi', 'utvrđivati']","(0.0, 0.0)",positive,Neutralan
ENG30-10471250-n,duhovni vođa u nehrišćanskim religijama,['sveštenik'],"(0.0, 0.0)",positive,Neutralan
ENG30-03314028-n,Jedna od dvanaest karata iz špila na čijem je licu slika.,['slika'],"(0.0, 0.0)",negative,Neutralan
ENG30-02164913-a,sadrži nedovoljno materijala ili nema dovoljno značaja,"['slab', 'krhak', 'nejak', 'tanak', 'tanan']","(0.0, 0.0)",negative,Negativan
ENG30-14446652-n,stanje napetosti i osećanja bolova,"['bolnost', 'iritacija', 'napetost', 'nelagodnost', 'neprijatnost', 'neudobnost', 'neugodnost']","(0.0, 0.0)",negative,Negativan
ENG30-06746005-n,"izjava (bilo izgovorena, bilo pisana) koja se daje kao odgovor na pitanje ili zahtev ili članak ili pismo","['odgovor', 'uzvrat']","(0.0, 0.0)",negative,negativan
ENG30-01754271-v,Pripremiti verbalno; bilo za pisanu ili govornu isporuku.,['pripremiti'],"(0.0, 0.0)",positive,Neutralan
ENG30-01458973-v,podeliti u komponente ili sastojke,"['odvajati', 'odvojiti', 'razdvajati', 'razdvojiti']","(0.0, 0.0)",negative,Neutralan
